,pfpr_underfives,pfpr_overfive,ci_underfives,ci_overfive,annual EIR,coverage_pair,group
0,0.01068621231142,0.08081834119621,0.2020031637512,0.6134690292238,0.8739591241007777,"[0.85, 0.65]",0.85
1,0.01234905081641,0.1011377356155,0.2254468548344,0.7006348576397,1.0774576565532876,"[0.85, 0.65]",0.85
2,0.01295098713877,0.0737807272577,0.1606905523222,0.4564134328393,0.6611180271640034,"[0.7, 0.5]",0.7
3,0.004596082792266,0.04079567240875,0.09328927262686,0.3290772495093,0.434971515491262,"[0.85, 0.65]",0.85
4,0.00487952044283,0.03628476286562,0.06543192092795,0.2666850452952,0.3783160417656709,"[0.85, 0.65]",0.85
5,0.008514689880305,0.04677483675721,0.1224610083736,0.3907624261337,0.5362532146235764,"[0.85, 0.65]",0.85
6,0.02306233331677,0.1446488944582,0.282657485106,0.8120531056193,1.424335611927569,"[0.7, 0.5]",0.7
7,0.02954707897569,0.1367260545537,0.2204015676398,0.6143499687314,1.0774576565532876,"[0.5, 0.3]",0.5
8,0.03974549661213,0.1672747650515,0.3282150696032,0.7225337038399,1.424335611927569,"[0.5, 0.3]",0.5
9,0.008537005163511,0.06698491760753,0.142398160533,0.4977414685418,0.7088951904080911,"[0.85, 0.65]",0.85
10,0.008928075118977,0.05592631150138,0.09052076260559,0.2752410297107,0.3783160417656709,"[0.5, 0.3]",0.5
11,0.01328174111011,0.07554527340564,0.09611954120919,0.3764916096115,0.5362532146235764,"[0.5, 0.3]",0.5
12,0.02090684281987,0.1428499619475,0.3309044170892,0.9192924730014,1.6376398336078386,"[0.85, 0.65]",0.85
13,0.01408952811766,0.1013082130303,0.1431332845241,0.4700258597732,0.7088951904080911,"[0.5, 0.3]",0.5
14,0.04102124264486,0.1864636365851,0.3611050117761,0.8202125616081,1.6376398336078386,"[0.5, 0.3]",0.5
15,0.02507324385092,0.1452848314421,0.2171878957888,0.6760951009928,1.1553225282261466,"[0.5, 0.3]",0.5
16,0.008781591110237,0.05523283540477,0.1471629503649,0.4288076508092,0.575006744738528,"[0.85, 0.65]",0.85
17,0.02798922272285,0.1684670355316,0.366925531067,0.8686813768581,1.7559875150361248,"[0.7, 0.5]",0.7
18,0.008535029182269,0.04943586522894,0.09468024969101,0.3034872896387,0.4056558911460173,"[0.7, 0.5]",0.7
19,0.007307784833396,0.04739891152624,0.1524195098318,0.3604362746701,0.500111542734833,"[0.85, 0.65]",0.85
20,0.05731713507386,0.2859488374556,0.971155276522,1.25236564083,4.66405698569436,"[0.85, 0.65]",0.85
21,0.03352499435369,0.2289220530976,0.6182714737952,1.13211630669,3.0686380525845465,"[0.85, 0.65]",0.85
22,0.03523032656898,0.187304832026,0.3951304326765,0.9807653127064,1.8828878546325962,"[0.7, 0.5]",0.7
23,0.05833754175194,0.3022545791893,0.9442805293947,1.245988829993,5.001115427348333,"[0.85, 0.65]",0.85
24,0.0516392867524,0.2259965350807,0.4408433343051,0.9107973435894,2.164863482413262,"[0.5, 0.3]",0.5
25,0.1556094672296,0.3680301033363,1.3143039844,1.101574039087,7.6012507651536305,"[0.5, 0.3]",0.5
26,0.06258955211301,0.2341371887573,0.4860678012483,0.9260981628904,2.3213121523188627,"[0.5, 0.3]",0.5
27,0.1475447105183,0.4087171837761,2.414094343199,1.20174843198,14.243356119275697,"[0.85, 0.65]",0.85
28,0.2654602527299,0.4182692602129,2.164167031646,1.056688081124,14.243356119275697,"[0.5, 0.3]",0.5
29,0.02998871135811,0.2073144444711,0.5134595339186,1.14417852473,2.6689448856303866,"[0.85, 0.65]",0.85
30,0.06870423012481,0.332568676855,1.231692011235,1.252604663285,6.61118027164003,"[0.85, 0.65]",0.85
31,0.04856950753821,0.2838505173658,0.8164668073878,1.292978260433,4.349715154912622,"[0.85, 0.65]",0.85
32,0.1466330688398,0.414251215092,2.545593874296,1.215218230005,15.272683898119487,"[0.85, 0.65]",0.85
33,0.06589306860094,0.2493516409495,0.5468594357371,0.9991933230194,2.6689448856303866,"[0.5, 0.3]",0.5
34,0.03077761077278,0.2183954754028,0.5605702463072,1.157280943415,2.8618221182135546,"[0.85, 0.65]",0.85
35,0.2719199842785,0.4308713264992,2.211650274694,1.099019971443,15.272683898119487,"[0.5, 0.3]",0.5
36,0.1577426080364,0.3960321021072,1.869621857652,1.161602353328,11.553225282261465,"[0.7, 0.5]",0.7
37,0.2390557658229,0.4589021424707,3.785031388979,1.059778829949,28.618221182135542,"[0.85, 0.65]",0.85
38,0.2198040663437,0.425010123012,2.435349117732,1.121550574142,16.376398336078378,"[0.7, 0.5]",0.7
39,0.1039581253541,0.3775390752118,1.769374654628,1.26621872565,10.048406166265469,"[0.85, 0.65]",0.85
40,0.3326911155412,0.4430505172334,2.731521746377,1.042324979673,20.1895892924387,"[0.5, 0.3]",0.5
41,0.3720926892325,0.502246644423,5.738784762565,0.8572990895482,76.01250765153631,"[0.85, 0.65]",0.85
42,0.2522939740857,0.4729691105362,4.055868895375,1.055166912382,32.903999999999996,"[0.85, 0.65]",0.85
43,0.202970871533,0.3951733536647,1.710391982226,1.128704935662,10.048406166265469,"[0.5, 0.3]",0.5
44,0.4993918968423,0.4982627314868,4.981121930759,0.7932563521899,81.50572041755126,"[0.7, 0.5]",0.7
45,0.1135647872186,0.3866049849316,1.982103579794,1.242700566072,10.774576565532875,"[0.85, 0.65]",0.85
46,0.196933464028,0.4454327193081,3.161388257286,1.056003748672,23.21312152318863,"[0.85, 0.65]",0.85
47,0.3290769825634,0.4941826987757,5.124422133667,0.8727655840921,57.500674473852854,"[0.85, 0.65]",0.85
