,pfpr_underfives,pfpr_overfive,ci_underfives,ci_overfive,annual EIR,coverage_pair,group
0,0.005515894856518,0.0323879053693,0.07478396524675,0.258367634844,0.32903999999999994,"[0.85, 0.65]",0.85
1,0.0112764015585,0.07977879974668,0.1504987265216,0.4943220189307,0.6978776801612594,"[0.7, 0.5]",0.7
2,0.006794704423786,0.05336916772201,0.08794564404525,0.3122732053162,0.4362120677337696,"[0.7, 0.5]",0.7
3,0.01487460437595,0.07966060558819,0.1287068245001,0.3815042541828,0.5782912960022205,"[0.5, 0.3]",0.5
4,0.01902633738369,0.1045883622053,0.1438333652914,0.488356943184,0.766647343731978,"[0.5, 0.3]",0.5
5,0.005414641377535,0.03917769027463,0.0982476552017,0.3051378875389,0.3970830504759647,"[0.85, 0.65]",0.85
6,0.006509338694857,0.0509349932333,0.112901315093,0.370985223708,0.5264175130991771,"[0.85, 0.65]",0.85
7,0.01378799557337,0.1035850990862,0.1807467557956,0.5824725849379,0.9251843723814409,"[0.7, 0.5]",0.7
8,0.03686264308012,0.2132905431035,0.4652705560438,0.9962195847766,2.368053738442991,"[0.7, 0.5]",0.7
9,0.03039036601042,0.1665751480808,0.288095077849,0.74832485753,1.3473908521256543,"[0.5, 0.3]",0.5
10,0.03423548461716,0.2002803914397,0.5755168271717,1.110399941099,2.6014044581170697,"[0.85, 0.65]",0.85
11,0.01899201859878,0.1673810500501,0.4053575183498,1.002617887192,1.962270616092301,"[0.85, 0.65]",0.85
12,0.04633799994773,0.2463431200997,0.5850836709142,1.09907023987,3.1393557553820215,"[0.7, 0.5]",0.7
13,0.05705571914022,0.2595713775678,0.6962968840962,1.136824546382,3.448711456622578,"[0.7, 0.5]",0.7
14,0.09550868117359,0.3307850757045,1.133239012794,1.200105505646,6.061147027072623,"[0.7, 0.5]",0.7
15,0.1922856984745,0.4153608112243,2.203358188039,1.141632072511,14.122180489527723,"[0.7, 0.5]",0.7
16,0.1992759059072,0.4486000017183,3.148763121571,1.135519364179,22.593493596021478,"[0.85, 0.65]",0.85
17,0.2786383339901,0.4311011186015,2.219181259163,1.107480933773,15.513796282320202,"[0.5, 0.3]",0.5
18,0.3332205110848,0.4488519646363,2.769905028865,0.9997223769315,22.593493596021478,"[0.5, 0.3]",0.5
19,0.1133719269514,0.3774925524672,1.841924814507,1.249219938327,10.652530298887173,"[0.85, 0.65]",0.85
20,0.2872408183839,0.4303266031918,2.369945267099,1.041096629575,17.04254348454237,"[0.5, 0.3]",0.5
21,0.1505578121783,0.3904826767448,1.800301414449,1.191312190378,10.652530298887173,"[0.7, 0.5]",0.7
22,0.006023322659651,0.0608591018114,0.1050759787904,0.3681300752796,0.5264175130991771,"[0.7, 0.5]",0.7
23,0.007091222947517,0.04049742436022,0.07936578453518,0.2565719572012,0.32903999999999994,"[0.7, 0.5]",0.7
24,0.01808411882319,0.09847054165851,0.1286909130868,0.470719148434,0.6978776801612594,"[0.5, 0.3]",0.5
25,0.01200522258383,0.06549485786534,0.108627822483,0.3224854264408,0.4362120677337696,"[0.5, 0.3]",0.5
26,0.004173214597521,0.0337439199543,0.08285315101966,0.2578936027712,0.3614639773595862,"[0.85, 0.65]",0.85
27,0.006743930064129,0.05682621067562,0.1164534315467,0.4514628656907,0.6352767807117444,"[0.85, 0.65]",0.85
28,0.01246788476336,0.09843670428731,0.1713682115078,0.5725328143744,0.8421936484850552,"[0.7, 0.5]",0.7
29,0.008946468087929,0.07347424292426,0.1210711128078,0.4462524995324,0.6352767807117444,"[0.7, 0.5]",0.7
30,0.007723752058002,0.04752339959182,0.08879273757339,0.2961868743296,0.3970830504759647,"[0.7, 0.5]",0.7
31,0.02292129524343,0.1317142074586,0.2697767738719,0.7258814622473,1.2265274377324271,"[0.7, 0.5]",0.7
32,0.02100165945755,0.1218733695767,0.1770768192364,0.5733084235399,0.9251843723814409,"[0.5, 0.3]",0.5
33,0.02475118700755,0.1555725528697,0.4235260020941,0.9644722357043,1.7862513665551225,"[0.85, 0.65]",0.85
34,0.0267975398664,0.192750737906,0.4412395032123,1.07734267629,2.368053738442991,"[0.85, 0.65]",0.85
35,0.01765976968128,0.1091845240479,0.2284751511179,0.6307580950088,1.0163530969849504,"[0.7, 0.5]",0.7
36,0.01462530217566,0.1330541871921,0.2843137288,0.8751499849313,1.4801642853977057,"[0.85, 0.65]",0.85
37,0.04147355447933,0.229981664625,0.5432961718179,1.055179946852,2.6014044581170697,"[0.7, 0.5]",0.7
38,0.02959735904514,0.1882593568018,0.3629132565111,0.9502089251764,1.962270616092301,"[0.7, 0.5]",0.7
39,0.06293094908933,0.239627652185,0.488886309322,0.9611366522149,2.6014044581170697,"[0.5, 0.3]",0.5
40,0.1276843651704,0.3425121542623,1.045561069855,1.10937755811,6.061147027072623,"[0.5, 0.3]",0.5
41,0.04784254949909,0.2364375981291,0.6010392874014,1.069671155623,2.8577498241914485,"[0.7, 0.5]",0.7
42,0.06333979071022,0.27138589951,0.77327086695,1.10464469716,3.7885514219437404,"[0.7, 0.5]",0.7
43,0.06771603044921,0.2542443444786,0.5852131760912,0.9903605810541,2.8577498241914485,"[0.5, 0.3]",0.5
44,0.135189171091,0.3503404324753,1.153991513187,1.111620532174,6.658419376874854,"[0.5, 0.3]",0.5
45,0.1037160198876,0.3236556037737,0.8779137134552,1.107720018539,5.022525679193388,"[0.5, 0.3]",0.5
46,0.07010801075762,0.2837535692093,0.8230207539164,1.164658218389,4.161879605540665,"[0.7, 0.5]",0.7
