,aEIR,PfPR_2to10
15,0.7405728865415,0.05812935645972
16,0.5059211230837,0.05033750551202
17,1.227816989413,0.06320501342883
18,3.846386723686,0.2714060464797
19,2.768940102891,0.1651239669421
20,1.435339611373,0.1231988788157
21,4.478427952621,0.2996686759012
22,1.303033737,0.0598254022595
23,3.812674465356,0.2192222111521
24,9.669703280553,0.4379609078542
25,5.187519278843,0.2551568239616
26,17.19715736248,0.5665449717889
27,10.54618589114,0.4475974577986
28,6.720916521735,0.3802851373677
29,8.259341644123,0.3996533059752
30,14.49127004202,0.5268976363384
31,15.39385827631,0.5730862487011
32,13.57893716171,0.5512631330421
33,9.701750828885,0.4467032967033
34,14.22501995601,0.5402825932968
35,13.64085959829,0.5361263842639
36,13.26033246145,0.5356979967021
37,21.36340885609,0.627895839569
38,23.1720334366,0.6320648151755
39,21.5812205486,0.5863689776733
40,34.79599992558,0.6737991714882
41,160.6735154986,0.7612662799186
42,26.43171167374,0.641782582401
43,39.34562475979,0.6870711523267
44,36.51714039594,0.6890653057367
45,43.85643585026,0.6978042426498
46,141.478361398,0.765306122449
47,93.08152759075,0.7427848101266
48,29.23081473634,0.6896216444726
49,103.470885545,0.7556336508524
50,134.0875025094,0.7377586709414
51,165.3854762018,0.7682229732549
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
56,0.0,0.0
57,0.0,0.0
58,0.0,0.0
59,0.0,0.0
60,0.0,0.0
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0
64,0.0,0.0
65,0.0,0.0
66,1.073835737538,0.07206352552616
67,0.3639091033256,0.03362296939932
68,0.0,0.0
69,2.112236321729,0.1959934645166
70,0.4180903934175,0.03163793714975
71,0.5742628115695,0.04499331393062
72,0.3506540496019,0.03704791628419
73,1.342055360321,0.06960047301292
74,2.382464907249,0.1606495191828
75,0.910631356528,0.07243126505524
76,3.971014587209,0.2863518197574
77,3.493587248726,0.251297722706
78,1.397938710172,0.1045821462488
79,3.07725763903,0.2029952177196
80,0.0,0.0
81,3.010351244826,0.1980000751851
82,3.507404602715,0.1957525392428
83,2.639848501072,0.1792156714442
84,1.014646322234,0.05378281008749
85,0.0,0.0
86,5.234800950158,0.3058740631606
87,4.970323743764,0.2821582582477
88,3.790193205466,0.2015699956389
89,4.274393361062,0.2668068863442
90,7.269803956151,0.4162476754597
91,4.831053438131,0.2817741190952
92,17.51308325678,0.6490208565515
93,11.42732410785,0.471632091977
94,5.156137388665,0.3203241895262
95,8.044755986892,0.4269354099863
96,8.541661304422,0.415940434893
97,11.98226746731,0.4878342360932
98,17.07878090255,0.5498728166865
99,9.378806009889,0.4036430308103
100,18.43566911668,0.6136522481945
101,8.656733131036,0.4401184652757
102,9.544327340089,0.4553212851406
103,18.32243685611,0.5759023354565
104,18.8907446526,0.5695644507142
105,114.7851032913,0.7376831900632
106,36.83241072297,0.7020675346974
107,113.873814404,0.7588310149634
108,20.85259285197,0.6190327054718
109,146.1879644394,0.7413010590015
110,24.26141794771,0.6469527172244
111,152.0460245311,0.7525537369355
112,27.17426715419,0.6537233213896
113,151.3261510134,0.7669704483013
114,0.0,0.0
115,0.0,0.0
116,0.0,0.0
117,0.0,0.0
118,0.0,0.0
119,0.0,0.0
120,0.0,0.0
121,0.0,0.0
122,0.0,0.0
123,0.0,0.0
124,0.0,0.0
125,0.0,0.0
126,0.0,0.0
127,0.0,0.0
128,0.0,0.0
129,0.4212587928632,0.04270527859238
130,0.0,0.0
131,1.123214513995,0.07566413662239
132,0.0,0.0
133,1.937881061109,0.1222695466991
134,0.1037955415668,0.0
135,2.280241649481,0.1504414173291
136,0.1596606525127,0.002423487051655
137,2.624740286265,0.1894087323284
138,2.902868027042,0.1773208040116
139,3.970761597157,0.2409076899368
140,1.557526383898,0.1035536366656
141,1.376642332063,0.101230148151
142,2.471505937516,0.1410751738602
143,0.7971576300915,0.06789589558107
144,4.815268714912,0.315062279753
145,4.068512388621,0.2935991266022
146,5.426534659695,0.2945817990531
147,7.05884628091,0.382051523129
148,5.332271650899,0.2924772631452
149,5.864651453914,0.3913306639352
150,11.28709981125,0.4759541842331
151,5.376240455778,0.2433903261179
152,5.50232239347,0.3252546208978
153,7.805975871161,0.3446445802509
154,7.50074214302,0.4065720914312
155,16.02155239321,0.5544975774173
156,12.30890849791,0.5369783872203
157,8.076192495413,0.4190324387197
158,11.92095747404,0.4992837927541
159,30.82141314074,0.6849813675362
160,23.38001830876,0.6704829061522
161,120.4342132658,0.7517342219804
162,128.0357224196,0.763974868336
163,26.20200287551,0.6721598170445
164,55.23128131032,0.7325890715625
